model,set,accuracy,precision_macro,precision_weighted,recall_macro,recall_weighted,f1_macro,f1_weighted
Decision Tree,test,0.7123493975903614,0.6859334625322998,0.7579176444148689,0.6907991772986133,0.7123493975903614,0.675230409489028,0.7262537630521431
Logistic Regression,test,0.7409638554216867,0.7158759231444362,0.7854223982907415,0.723680733111164,0.7409638554216867,0.7076273770358569,0.7550121156919838
SVM (RBF),test,0.7319277108433735,0.7054418833466537,0.7739581142037222,0.7095749946564971,0.7319277108433735,0.6954720425607933,0.7448303503044797
