model,cv,scoring,mean_f1_macro,std_f1_macro,fold_1,fold_2,fold_3,fold_4,fold_5
Decision Tree,5,f1_macro,0.6511198370145876,0.014363385683260238,0.6733726873427516,0.6424006845004586,0.6627700231894154,0.6365939316223993,0.6404618584179135
Logistic Regression,5,f1_macro,0.7029459633337841,0.006355875757140384,0.6913981306957601,0.7066593555248283,0.7066258263949998,0.709065059433276,0.7009814446200565
SVM (RBF),5,f1_macro,0.6954572147413256,0.006315087653409737,0.6997618800203306,0.6870475071453268,0.6986588279861293,0.6888559187172686,0.7029619398375724
