Model,accuracy,precision_macro,precision_weighted,recall_macro,recall_weighted,f1_macro,f1_weighted
Logistic Regression,0.7409638554216867,0.7158759231444362,0.7854223982907415,0.723680733111164,0.7409638554216867,0.7076273770358569,0.7550121156919838
SVM (RBF),0.7319277108433735,0.7054418833466537,0.7739581142037222,0.7095749946564971,0.7319277108433735,0.6954720425607933,0.7448303503044797
RF (tuned),0.7469879518072289,0.711968835252231,0.7723773788453857,0.7133199622968142,0.7469879518072289,0.7063844846724536,0.7553999394002551
ExtraTrees,0.766566265060241,0.7173645256837108,0.7735952530603972,0.7141247358154756,0.766566265060241,0.7143206925596802,0.768905618405569
LR + class-bias tuning,0.7650602409638554,0.7302623057937353,0.7896360177998724,0.728962363835743,0.7650602409638554,0.7228439351415235,0.7725141321333959
MLP (tuned),0.7756024096385542,0.7216035649443991,0.765792015655308,0.6997054379192709,0.7756024096385542,0.7077293678919695,0.7681405630861993
