model,mean_f1_macro,std_f1_macro,fold_1_f1_macro,fold_2_f1_macro,fold_3_f1_macro,fold_4_f1_macro,fold_5_f1_macro
Decision Tree,0.650662532250329,0.011810175096659345,0.635535143544364,0.6589176937199784,0.6554996749980632,0.6653721682847896,0.6379879807044493
Logistic Regression,0.7020618474899609,0.007915401519351368,0.7015080275050568,0.6921410073463349,0.7121562985060342,0.7097542150224915,0.6947496890698872
SVM (RBF),0.6938159803180495,0.015324227256706891,0.6961688222592048,0.6686324904330657,0.7128881935138568,0.686650767222844,0.7047396281612758
Random Forest,0.7100821471697188,0.020784465295892014,0.7171497902063967,0.6779651069370186,0.7360862283089687,0.7237795395900698,0.6954300708061405
Gradient Boosting,0.7051397129310641,0.009282785713456218,0.7088916104037857,0.698986747574205,0.7153098399727612,0.7123300244694318,0.6901803422351368
ExtraTrees,0.7170212041104025,0.017063886436073476,0.7276761422272259,0.6916024633768343,0.7413053667117154,0.7177928336953495,0.706729214540888
