Model,accuracy,precision_macro,precision_weighted,recall_macro,recall_weighted,f1_macro,f1_weighted
RF (default),0.7725903614457831,0.7162714045718893,0.7569131159181438,0.6866861456953389,0.7725903614457831,0.6942428984682506,0.7599640988195205
GradientBoosting (default),0.7545180722891566,0.6883069319681896,0.7495699074187215,0.682055004251828,0.7545180722891566,0.6847712967899172,0.7516208101748741
RF (tuned),0.7469879518072289,0.711968835252231,0.7723773788453857,0.7133199622968142,0.7469879518072289,0.7063844846724536,0.7553999394002551
GradientBoosting (tuned),0.7725903614457831,0.7130622153124403,0.7623874517791319,0.6964612305694947,0.7725903614457831,0.7026796646025725,0.7657369869591389
ExtraTrees,0.766566265060241,0.7173645256837108,0.7735952530603972,0.7141247358154756,0.766566265060241,0.7143206925596802,0.768905618405569
LR + class-bias tuning,0.7650602409638554,0.7302623057937353,0.7896360177998724,0.728962363835743,0.7650602409638554,0.7228439351415235,0.7725141321333959
