Model,accuracy,precision_macro,precision_weighted,recall_macro,recall_weighted,f1_macro,f1_weighted
Decision Tree,0.35240963855421686,0.3167453749321407,0.37009199425144146,0.31610978573226906,0.35240963855421686,0.3138315430942159,0.35945506126055515
Logistic Regression,0.3433734939759036,0.31762831537109226,0.36116024160273286,0.32390159525544476,0.3433734939759036,0.3166618259270016,0.3494359663457781
SVM (RBF),0.35542168674698793,0.32665394761369476,0.3734126169907755,0.3326089698281032,0.35542168674698793,0.32466184039818047,0.3611023531400018
RF (default),0.37801204819277107,0.30396460761000943,0.3571129437536241,0.3071147175992406,0.37801204819277107,0.30314532548046946,0.36570391237146077
GradientBoosting (default),0.36596385542168675,0.30660377358490565,0.3556505897805057,0.3071748864713599,0.36596385542168675,0.3063231274817284,0.3601938050501656
RF (tuned),0.35993975903614456,0.31618278562171603,0.36532715216419875,0.3182109033443119,0.35993975903614456,0.31630395771995184,0.3620505942073025
GradientBoosting (tuned),0.3704819277108434,0.30291156802781766,0.35679223080927575,0.30512791688313995,0.3704819277108434,0.30317627046329676,0.3628791074927908
ExtraTrees,0.3614457831325301,0.3094645702700802,0.36274076844819386,0.3093255176384712,0.3614457831325301,0.30938753211824316,0.36208581624965386
LR + class-bias tuning,0.3569277108433735,0.31120719155545024,0.359271503212566,0.3126086624479533,0.3569277108433735,0.31116446809346626,0.35756326754317014
