model,baseline_test_accuracy,baseline_test_f1_macro,tuned_test_accuracy,tuned_test_f1_macro,improvement_f1_macro,best_cv_f1_macro
Decision Tree,0.7123493975903614,0.675230409489028,0.6957831325301205,0.6730962003429716,-0.0021342091460564427,0.6838930424391282
Logistic Regression,0.7409638554216867,0.7076273770358569,0.7409638554216867,0.7074059175846835,-0.00022145945117335586,0.7051192103076936
SVM (RBF),0.7319277108433735,0.6954720425607933,0.7364457831325302,0.7033135840415813,0.007841541480787972,0.7038991739716473
