model,train_accuracy,val_accuracy,test_accuracy,entire_accuracy,train_f1_macro,val_f1_macro,test_f1_macro,entire_f1_macro
Decision Tree,0.9047157622739018,0.7108433734939759,0.7123493975903614,0.846745027124774,0.8875718185069915,0.6709266902239253,0.675230409489028,0.8213020508124366
Logistic Regression,0.7545219638242894,0.7439759036144579,0.7409638554216867,0.7509041591320073,0.7162658588471876,0.7075500000597623,0.7076273770358569,0.7136544330512576
SVM (RBF),0.8026485788113695,0.7289156626506024,0.7319277108433735,0.7809674502712477,0.7751998407254357,0.6937448121444314,0.6954720425607933,0.7507082952626075
