model,enrolled_f1_no_weight,enrolled_f1_balanced,change
DT,0.1702127659574468,0.19444444444444445,0.024231678486997643
LR,0.1256544502617801,0.24242424242424243,0.11676979216246233
SVM,0.13402061855670103,0.24422442244224424,0.11020380388554321
